file,type,yes,no,missed
in/ID10_r9_v5.vcf,insertional,28,1999,13742
in/ID10_r9_v5.vcf,deletional,409,1618,47581
in/ID10_r9_v5.vcf,substitutional,1,2026,1495
in/ID100_r9_v5.vcf,insertional,948,79059,12822
in/ID100_r9_v5.vcf,deletional,13871,66136,34119
in/ID100_r9_v5.vcf,substitutional,6,80001,1490
in/ID150_r9_v5.vcf,insertional,1518,127533,12252
in/ID150_r9_v5.vcf,deletional,18383,110668,29607
in/ID150_r9_v5.vcf,substitutional,11,129040,1485
in/ID200_r9_v5.vcf,insertional,2030,174501,11740
in/ID200_r9_v5.vcf,deletional,21560,154971,26430
in/ID200_r9_v5.vcf,substitutional,28,176503,1468
in/ID25_r9_v5.vcf,insertional,101,11419,13669
in/ID25_r9_v5.vcf,deletional,3211,8309,44779
in/ID25_r9_v5.vcf,substitutional,0,11520,1496
in/ID250_r9_v5.vcf,insertional,2494,213720,11276
in/ID250_r9_v5.vcf,deletional,23719,192495,24271
in/ID250_r9_v5.vcf,substitutional,53,216161,1443
in/ID300_r9_v5.vcf,insertional,2939,256894,10831
in/ID300_r9_v5.vcf,deletional,25488,234345,22502
in/ID300_r9_v5.vcf,substitutional,70,259763,1426
in/ID5_r9_v5.vcf,insertional,0,0,13770
in/ID5_r9_v5.vcf,deletional,0,0,47990
in/ID5_r9_v5.vcf,substitutional,0,0,1496
in/ID50_r9_v5.vcf,insertional,336,31384,13434
in/ID50_r9_v5.vcf,deletional,7538,24182,40452
in/ID50_r9_v5.vcf,substitutional,0,31720,1496
